epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3550.35,0.72489,0.40997,0.89488,0.9607,0.94975,0.96323,0.75341,0.88887,0.41894,1.00607,0.0008318,0.0008318,0.0008318
61,3608.71,0.73717,0.41951,0.90457,0.96458,0.95803,0.96545,0.76084,0.87796,0.42671,1.00695,0.000812,0.000812,0.000812
62,3665.83,0.71122,0.40731,0.89416,0.96444,0.95411,0.96444,0.7495,0.89864,0.42159,1.01667,0.0007922,0.0007922,0.0007922
63,3722.05,0.73242,0.41868,0.89475,0.96044,0.96482,0.96937,0.76276,0.84805,0.40598,1.00759,0.0007724,0.0007724,0.0007724
64,3778.48,0.72156,0.41449,0.90303,0.96738,0.9598,0.96676,0.76014,0.84606,0.40875,0.99642,0.0007526,0.0007526,0.0007526
65,3834.45,0.70857,0.40797,0.89277,0.97948,0.95957,0.96602,0.76258,0.87337,0.41006,1.00278,0.0007328,0.0007328,0.0007328
66,3890.78,0.71673,0.41521,0.89833,0.97416,0.95477,0.96535,0.76297,0.86583,0.41719,0.99746,0.000713,0.000713,0.000713
67,3947.11,0.69333,0.39731,0.88623,0.96627,0.9598,0.97023,0.75274,0.85501,0.41855,0.99266,0.0006932,0.0006932,0.0006932
68,4004.06,0.69188,0.39155,0.88881,0.96803,0.9598,0.96977,0.76729,0.86216,0.40218,1.00586,0.0006734,0.0006734,0.0006734
69,4060.48,0.69982,0.40305,0.8835,0.96461,0.95868,0.96379,0.75901,0.86942,0.42593,1.00103,0.0006536,0.0006536,0.0006536
70,4117.16,0.68474,0.38507,0.88287,0.96914,0.95477,0.96463,0.77503,0.84918,0.40407,0.99159,0.0006338,0.0006338,0.0006338
71,4173.54,0.68812,0.39559,0.88954,0.96907,0.94975,0.9691,0.77177,0.86833,0.40393,1.00297,0.000614,0.000614,0.000614
72,4230.04,0.67771,0.38078,0.88155,0.96477,0.96341,0.96459,0.76964,0.86812,0.39369,0.99908,0.0005942,0.0005942,0.0005942
73,4288.49,0.68772,0.38698,0.88509,0.9646,0.95845,0.96973,0.78053,0.86135,0.39836,0.99651,0.0005744,0.0005744,0.0005744
74,4346.69,0.68174,0.39474,0.89079,0.97449,0.95963,0.96851,0.77073,0.85786,0.39756,0.99981,0.0005546,0.0005546,0.0005546
75,4403.23,0.67065,0.37906,0.88149,0.95999,0.96461,0.96922,0.76559,0.86855,0.40656,0.99757,0.0005348,0.0005348,0.0005348
76,4459.6,0.66928,0.38784,0.88621,0.95958,0.9598,0.9684,0.76619,0.85326,0.40554,0.99157,0.000515,0.000515,0.000515
77,4515.61,0.65144,0.36951,0.86994,0.96385,0.9598,0.96632,0.77014,0.85801,0.41063,1.00644,0.0004952,0.0004952,0.0004952
78,4572.59,0.65538,0.37579,0.88029,0.96152,0.95477,0.96412,0.76697,0.86821,0.40851,1.00204,0.0004754,0.0004754,0.0004754
79,4628.61,0.66301,0.37656,0.88109,0.95942,0.96482,0.96516,0.76996,0.8499,0.3922,0.99668,0.0004556,0.0004556,0.0004556
80,4684.83,0.65788,0.37835,0.8777,0.95907,0.96482,0.96987,0.7667,0.8536,0.38041,0.99666,0.0004358,0.0004358,0.0004358
81,4741.03,0.65613,0.3662,0.8742,0.97432,0.95332,0.97151,0.77885,0.84567,0.37894,0.99849,0.000416,0.000416,0.000416
82,4797.41,0.63081,0.35358,0.86606,0.96882,0.9598,0.96821,0.77782,0.84219,0.37898,0.99692,0.0003962,0.0003962,0.0003962
83,4853.38,0.62851,0.35008,0.86903,0.97335,0.96482,0.97097,0.78105,0.84789,0.38473,1.00147,0.0003764,0.0003764,0.0003764
84,4909.58,0.6378,0.36396,0.87148,0.96887,0.95477,0.96533,0.76879,0.84598,0.39034,0.99277,0.0003566,0.0003566,0.0003566
85,4966.87,0.63546,0.35416,0.8691,0.95988,0.96172,0.96954,0.7831,0.84994,0.38578,0.99682,0.0003368,0.0003368,0.0003368
86,5024.94,0.61866,0.3503,0.87335,0.96465,0.95978,0.97028,0.78198,0.85872,0.39832,1.00498,0.000317,0.000317,0.000317
87,5081.37,0.62366,0.35212,0.87185,0.95952,0.96482,0.96934,0.77487,0.8403,0.38813,0.98966,0.0002972,0.0002972,0.0002972
88,5137.55,0.6162,0.35311,0.86731,0.96453,0.9598,0.96693,0.77942,0.84174,0.37587,0.99331,0.0002774,0.0002774,0.0002774
89,5193.83,0.61061,0.34381,0.86463,0.96449,0.95544,0.9697,0.77631,0.83977,0.38507,0.9965,0.0002576,0.0002576,0.0002576
90,5250.12,0.6102,0.34016,0.86802,0.97419,0.94826,0.96808,0.7806,0.85011,0.39099,0.99085,0.0002378,0.0002378,0.0002378
91,5303.34,0.54464,0.29711,0.84637,0.96933,0.95296,0.96687,0.77972,0.84578,0.38379,0.99911,0.000218,0.000218,0.000218
92,5356.68,0.54294,0.29541,0.84315,0.96822,0.94975,0.96942,0.77613,0.83825,0.38733,0.99541,0.0001982,0.0001982,0.0001982
93,5409.88,0.52553,0.28532,0.84188,0.96712,0.94472,0.96845,0.78135,0.83522,0.39099,0.99505,0.0001784,0.0001784,0.0001784
94,5463.18,0.53073,0.28658,0.84586,0.96758,0.94472,0.96959,0.78032,0.84298,0.38531,0.99398,0.0001586,0.0001586,0.0001586
95,5516.52,0.5125,0.2822,0.83537,0.96424,0.9486,0.96717,0.7851,0.83781,0.38489,0.99374,0.0001388,0.0001388,0.0001388
96,5570.15,0.52071,0.28075,0.83713,0.96366,0.94975,0.97043,0.78528,0.8382,0.38317,0.99666,0.000119,0.000119,0.000119
97,5623.66,0.50645,0.27619,0.83024,0.96774,0.94975,0.96797,0.78704,0.83849,0.38155,0.99201,9.92e-05,9.92e-05,9.92e-05
98,5676.75,0.51077,0.27836,0.83297,0.96714,0.94975,0.97163,0.78476,0.84558,0.37886,0.99338,7.94e-05,7.94e-05,7.94e-05
99,5729.94,0.50616,0.27721,0.83322,0.96726,0.94975,0.97332,0.79139,0.83476,0.37406,0.99086,5.96e-05,5.96e-05,5.96e-05
100,5783.19,0.4976,0.27451,0.83197,0.97073,0.94975,0.97132,0.79447,0.8316,0.37712,0.99143,3.98e-05,3.98e-05,3.98e-05
